segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[d] [ʒ]	-strid,+voice,+ant +voice,-ant,+strid	0.0126	14897	26099	15650	0.0
[ɟ|d] [ʒ]	-strid,+voice +voice,-ant,+strid	0.0125	14897	26295	15650	0.0
[d] [ʒ|ɟ]	-strid,+voice,+ant +voice,-ant	0.0125	14897	26099	15846	0.0
[ɟ|d] [ʒ|ɟ]	-strid,+voice +voice,-ant	0.0124	14897	26295	15846	0.0
[d|z] [ʒ]	+voice,+ant +voice,-ant,+strid	0.0097	14897	33908	15650	0.0
[d|z] [ʒ|ɟ]	+voice,+ant +voice,-ant	0.0096	14921	33908	15846	0.0
[d] [ʒ|z]	-strid,+voice,+ant +voice,+strid	0.0084	14897	26099	23459	0.0
[ɟ|d] [ʒ|z]	-strid,+voice +voice,+strid	0.0084	14897	26295	23459	0.0
[ɡ|ɟ|d|b] [ʒ]	+voice,-cont +voice,-ant,+strid	0.008	14906	41528	15650	0.0
[ɡ|ɟ|d|b] [ʒ|ɟ]	+voice,-cont +voice,-ant	0.0079	14906	41528	15846	0.0
[t|d] [ʒ|ʃ]	-strid,+ant -ant,+strid	0.0073	23992	58147	31513	0.0
[t|ɟ|d|c] [ʒ|ʃ]	-strid -ant,+strid	0.0073	23992	58343	31513	0.0
[t|d] [ʒ|ʃ|ɟ|c]	-strid,+ant -ant,-son	0.0073	23996	58147	31709	0.0
[t|ɟ|d|c] [ʒ|ʃ|ɟ|c]	-strid -ant,-son	0.0072	23996	58343	31709	0.0
[d] [ʒ|z|v]	-strid,+voice,+ant +voice,+cont	0.0068	14913	26099	29112	0.0
[ɟ|d] [ʒ|z|v]	-strid,+voice +voice,+cont	0.0068	14913	26295	29112	0.0
[t|d] [ʒ|ʃ|ʎ]	-strid,+ant +cons,-ant,+cont	0.0067	24004	58147	34153	0.0
[t|ɟ|d|c] [ʒ|ʃ|ʎ]	-strid +cons,-ant,+cont	0.0067	24004	58343	34153	0.0
[t|d] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	-strid,+ant +cons,-ant	0.0067	24008	58147	34349	0.0
[t|d] [ʃ|ɟ|ʎ|c|ʒ]	-strid,+ant -ant,-nas,+cons	0.0067	24008	58147	34349	0.0
[t|ɟ|d|c] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	-strid +cons,-ant	0.0067	24008	58343	34349	0.0
[t|ɟ|d|c] [ʃ|ɟ|ʎ|c|ʒ]	-strid -ant,-nas,+cons	0.0067	24008	58343	34349	0.0
[ʒ|ɟ|d|z] [ʒ]	+cor,+voice +voice,-ant,+strid	0.0066	14897	49754	15650	0.0
[d|z] [ʒ|z]	+voice,+ant +voice,+strid	0.0066	14991	33908	23459	0.0
[ʒ|ɟ|d|z] [ʒ|ɟ]	+cor,+voice +voice,-ant	0.0066	14921	49754	15846	0.0
[d] [ʒ|ʃ]	-strid,+voice,+ant -ant,+strid	0.0063	14897	26099	31513	0.0
[d] [ʒ|ʃ|ɟ|c]	-strid,+voice,+ant -ant,-son	0.0062	14897	26099	31709	0.0
[ɟ|d] [ʒ|ʃ]	-strid,+voice -ant,+strid	0.0062	14897	26295	31513	0.0
[ɟ|d] [ʒ|ʃ|ɟ|c]	-strid,+voice -ant,-son	0.0062	14897	26295	31709	0.0
[d] [ʒ|ʃ|ʎ]	-strid,+voice,+ant +cons,-ant,+cont	0.0058	14905	26099	34153	0.0
[d] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	-strid,+voice,+ant +cons,-ant	0.0058	14905	26099	34349	0.0
[d] [ʃ|ɟ|ʎ|c|ʒ]	-strid,+voice,+ant -ant,-nas,+cons	0.0058	14905	26099	34349	0.0
[ɟ|d] [ʒ|ʃ|ʎ]	-strid,+voice +cons,-ant,+cont	0.0058	14905	26295	34153	0.0
[ɟ|d] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	-strid,+voice +cons,-ant	0.0057	14905	26295	34349	0.0
[ɟ|d] [ʃ|ɟ|ʎ|c|ʒ]	-strid,+voice -ant,-nas,+cons	0.0057	14905	26295	34349	0.0
[t|d] [ʒ]	-strid,+ant +voice,-ant,+strid	0.0057	14897	58147	15650	0.0
[t|ɟ|d|c] [ʒ]	-strid +voice,-ant,+strid	0.0057	14897	58343	15650	0.0
[t|d] [ʒ|ɟ]	-strid,+ant +voice,-ant	0.0056	14901	58147	15846	0.0
[t|ɟ|d|c] [ʒ|ɟ]	-strid +voice,-ant	0.0056	14901	58343	15846	0.0
[t|n|d] [ʒ|ʃ]	+ant,-cont -ant,+strid	0.0055	24102	78431	31513	0.0
[t|n|ɟ|d|ɲ|c] [ʒ|ʃ]	+cor,-cont -ant,+strid	0.0055	24102	78627	31513	0.0
[t|n|d] [ʒ|ʃ|ɟ|c]	+ant,-cont -ant,-son	0.0054	24119	78431	31709	0.0
[t|n|ɟ|d|ɲ|c] [ʒ|ʃ|ɟ|c]	+cor,-cont -ant,-son	0.0054	24119	78627	31709	0.0
[ɡ|ɟ|d|b] [ʒ|z]	+voice,-cont +voice,+strid	0.0053	14956	41528	23459	0.0
[d|z] [ʒ|z|v]	+voice,+ant +voice,+cont	0.0053	15033	33908	29112	0.0
[t|d|s|z] [ʒ|ʃ]	+ant,-son -ant,+strid	0.0052	24000	81554	31513	0.0
[t|d|s|z] [ʒ|ʃ|ɟ|c]	+ant,-son -ant,-son	0.0052	24028	81554	31709	0.0
[t|n|d] [ʒ|ʃ|ʎ]	+ant,-cont +cons,-ant,+cont	0.005	24114	78431	34153	0.0
[t|n|ɟ|d|ɲ|c] [ʒ|ʃ|ʎ]	+cor,-cont +cons,-ant,+cont	0.005	24114	78627	34153	0.0
[t|n|d] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	+ant,-cont +cons,-ant	0.005	24131	78431	34349	0.0
[t|n|d] [ʃ|ɟ|ʎ|c|ʒ]	+ant,-cont -ant,-nas,+cons	0.005	24131	78431	34349	0.0
[t|n|ɟ|d|ɲ|c] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	+cor,-cont +cons,-ant	0.005	24131	78627	34349	0.0
[t|n|ɟ|d|ɲ|c] [ʃ|ɟ|ʎ|c|ʒ]	+cor,-cont -ant,-nas,+cons	0.005	24131	78627	34349	0.0
[d|z] [ʒ|ʃ]	+voice,+ant -ant,+strid	0.0048	14897	33908	31513	0.0
[t|d|s|z] [ʒ|ʃ|ʎ]	+ant,-son +cons,-ant,+cont	0.0048	24032	81554	34153	0.0
[d|z] [ʒ|ʃ|ɟ|c]	+voice,+ant -ant,-son	0.0048	14921	33908	31709	0.0
[t|d|s|z] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	+ant,-son +cons,-ant	0.0048	24060	81554	34349	0.0
[t|d|s|z] [ʃ|ɟ|ʎ|c|ʒ]	+ant,-son -ant,-nas,+cons	0.0048	24060	81554	34349	0.0
[ɟ|d|v|b|ʒ|z|ɡ] [ʒ]	+voice +voice,-ant,+strid	0.0047	14906	70640	15650	0.0
[ɟ|d|v|b|ʒ|z|ɡ] [ʒ|ɟ]	+voice +voice,-ant	0.0046	14930	70640	15846	0.0
[ʒ|ɟ|d|z] [ʒ|z]	+cor,+voice +voice,+strid	0.0045	15010	49754	23459	0.0
[d|z] [ʒ|ʃ|ʎ]	+voice,+ant +cons,-ant,+cont	0.0045	14909	33908	34153	0.0
[d|z] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	+voice,+ant +cons,-ant	0.0045	14933	33908	34349	0.0
[d|z] [ʃ|ɟ|ʎ|c|ʒ]	+voice,+ant -ant,-nas,+cons	0.0045	14933	33908	34349	0.0
[ɡ|ɟ|d|b] [ʒ|z|v]	+voice,-cont +voice,+cont	0.0043	14972	41528	29112	0.0
[t|d] [ʒ|ʃ|ʎ|j]	-strid,+ant -ant,+cont	0.0043	24142	58147	54278	0.0
[t|d] [ʃ|ɟ|ʎ|j|ɲ|c|ʒ]	-strid,+ant -ant	0.0043	24146	58147	54474	0.0
[t|d] [ʃ|ɟ|ʎ|j|c|ʒ]	-strid,+ant -ant,-nas	0.0043	24146	58147	54474	0.0
[t|ɟ|d|c] [ʒ|ʃ|ʎ|j]	-strid -ant,+cont	0.0043	24142	58343	54278	0.0
[t|ɟ|d|c] [ʃ|ɟ|ʎ|j|ɲ|c|ʒ]	-strid -ant	0.0043	24146	58343	54474	0.0
[t|ɟ|d|c] [ʃ|ɟ|ʎ|j|c|ʒ]	-strid -ant,-nas	0.0043	24146	58343	54474	0.0
[t|n|d] [ʒ]	+ant,-cont +voice,-ant,+strid	0.0042	14961	78431	15650	0.0
[t|n|ɟ|d|ɲ|c] [ʒ]	+cor,-cont +voice,-ant,+strid	0.0042	14961	78627	15650	0.0
[t|d] [ʒ|ʃ|z|s]	-strid,+ant +strid	0.0042	24100	58147	54920	0.0
[t|ɟ|d|c] [ʒ|ʃ|z|s]	-strid +strid	0.0042	24104	58343	54920	0.0
[t|n|d] [ʒ|ɟ]	+ant,-cont +voice,-ant	0.0042	14978	78431	15846	0.0
[t|n|ɟ|d|ɲ|c] [ʒ|ɟ]	+cor,-cont +voice,-ant	0.0042	14978	78627	15846	0.0
[t|ɟ|d|p|b|c|k|ɡ] [ʒ|ʃ]	-nas,-cont -ant,+strid	0.0042	24067	102581	31513	0.0
[t|ɟ|d|p|b|c|k|ɡ] [ʒ|ʃ|ɟ|c]	-nas,-cont -ant,-son	0.0041	24071	102581	31709	0.0
[d] [ʒ|ɟ|d|z]	-strid,+voice,+ant +cor,+voice	0.0041	15171	26099	49754	0.0
[ɟ|d] [ʒ|ɟ|d|z]	-strid,+voice +cor,+voice	0.0041	15174	26295	49754	0.0
[t|d|s|z] [ʒ]	+ant,-son +voice,-ant,+strid	0.004	14905	81554	15650	0.0
[t|d|s|z] [ʒ|ɟ]	+ant,-son +voice,-ant	0.004	14933	81554	15846	0.0
[ɡ|ɟ|d|b] [ʒ|ʃ]	+voice,-cont -ant,+strid	0.0039	14906	41528	31513	0.0
[ɡ|ɟ|d|b] [ʒ|ʃ|ɟ|c]	+voice,-cont -ant,-son	0.0039	14906	41528	31709	0.0
[t|ɟ|d|p|b|c|k|ɡ] [ʒ|ʃ|ʎ]	-nas,-cont +cons,-ant,+cont	0.0039	24173	102581	34153	0.0
[t|ɟ|d|p|b|c|k|ɡ] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	-nas,-cont +cons,-ant	0.0039	24177	102581	34349	0.0
[t|ɟ|d|p|b|c|k|ɡ] [ʃ|ɟ|ʎ|c|ʒ]	-nas,-cont -ant,-nas,+cons	0.0039	24177	102581	34349	0.0
[t|d] [ʒ|z]	-strid,+ant +voice,+strid	0.0038	14914	58147	23459	0.0
[t|c] [ʃ]	-strid,-voice -voice,-ant,+strid	0.0038	9095	32048	15863	0.0
[t|c] [ʃ|c]	-strid,-voice -voice,-ant	0.0038	9095	32048	15863	0.0
[t] [ʃ]	-strid,+ant,-voice -voice,-ant,+strid	0.0038	9095	32048	15863	0.0
[t] [ʃ|c]	-strid,+ant,-voice -voice,-ant	0.0038	9095	32048	15863	0.0
[t|ɟ|d|c] [ʒ|z]	-strid +voice,+strid	0.0038	14914	58343	23459	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [ʒ|ʃ]	+cor,-son -ant,+strid	0.0038	24014	113263	31513	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [ʒ|ʃ|ɟ|c]	+cor,-son -ant,-son	0.0037	24051	113263	31709	0.0
[d] [ʒ|ʃ|ʎ|j]	-strid,+voice,+ant -ant,+cont	0.0037	14996	26099	54278	0.0
[d] [ʃ|ɟ|ʎ|j|ɲ|c|ʒ]	-strid,+voice,+ant -ant	0.0037	14996	26099	54474	0.0
[d] [ʃ|ɟ|ʎ|j|c|ʒ]	-strid,+voice,+ant -ant,-nas	0.0037	14996	26099	54474	0.0
[ɟ|d] [ʒ|ʃ|ʎ|j]	-strid,+voice -ant,+cont	0.0037	14996	26295	54278	0.0
[ɡ|ɟ|d|b] [ʒ|ʃ|ʎ]	+voice,-cont +cons,-ant,+cont	0.0037	14931	41528	34153	0.0
[ɟ|d] [ʃ|ɟ|ʎ|j|ɲ|c|ʒ]	-strid,+voice -ant	0.0037	14996	26295	54474	0.0
[ɟ|d] [ʃ|ɟ|ʎ|j|c|ʒ]	-strid,+voice -ant,-nas	0.0037	14996	26295	54474	0.0
[ʒ|ɟ|d|z] [ʒ|z|v]	+cor,+voice +voice,+cont	0.0036	15069	49754	29112	0.0
[ɡ|ɟ|d|b] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	+voice,-cont +cons,-ant	0.0036	14931	41528	34349	0.0
[ɡ|ɟ|d|b] [ʃ|ɟ|ʎ|c|ʒ]	+voice,-cont -ant,-nas,+cons	0.0036	14931	41528	34349	0.0
[d] [ʒ|ʃ|z|s]	-strid,+voice,+ant +strid	0.0036	14905	26099	54920	0.0
[ɟ|d] [ʒ|ʃ|z|s]	-strid,+voice +strid	0.0036	14909	26295	54920	0.0
[d|z] [ʒ|ɟ|d|z]	+voice,+ant +cor,+voice	0.0035	15954	33908	49754	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [ʒ|ʃ|ʎ]	+cor,-son +cons,-ant,+cont	0.0035	24046	113263	34153	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	+cor,-son +cons,-ant	0.0035	24083	113263	34349	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [ʃ|ɟ|ʎ|c|ʒ]	+cor,-son -ant,-nas,+cons	0.0035	24083	113263	34349	0.0
[t|n|d] [ʒ|ʃ|z|s]	+ant,-cont +strid	0.0033	24801	78431	54920	0.0
[t|d|s|r|l|z] [ʒ|ʃ]	+ant,-nas -ant,+strid	0.0033	24203	130315	31513	0.0
[t|n|ɟ|d|ɲ|c] [ʒ|ʃ|z|s]	+cor,-cont +strid	0.0033	24805	78627	54920	0.0
[t|d|s|r|l|z] [ʒ|ʃ|ɟ|c]	+ant,-nas -ant,-son	0.0033	24254	130315	31709	0.0
[t|n|d] [ʒ|ʃ|ʎ|j]	+ant,-cont -ant,+cont	0.0033	24547	78431	54278	0.0
[ʒ|ɟ|d|z] [ʒ|ʃ]	+cor,+voice -ant,+strid	0.0033	14897	49754	31513	0.0
[t|n|d] [ʃ|ɟ|ʎ|j|ɲ|c|ʒ]	+ant,-cont -ant	0.0033	24564	78431	54474	0.0
[t|n|d] [ʃ|ɟ|ʎ|j|c|ʒ]	+ant,-cont -ant,-nas	0.0033	24564	78431	54474	0.0
[t|n|ɟ|d|ɲ|c] [ʒ|ʃ|ʎ|j]	+cor,-cont -ant,+cont	0.0033	24547	78627	54278	0.0
[ʒ|ɟ|d|z] [ʒ|ʃ|ɟ|c]	+cor,+voice -ant,-son	0.0033	14921	49754	31709	0.0
[t|n|ɟ|d|ɲ|c] [ʃ|ɟ|ʎ|j|ɲ|c|ʒ]	+cor,-cont -ant	0.0033	24564	78627	54474	0.0
[t|n|ɟ|d|ɲ|c] [ʃ|ɟ|ʎ|j|c|ʒ]	+cor,-cont -ant,-nas	0.0033	24564	78627	54474	0.0
[t|ɟ|d|p|b|c|k|ɡ] [ʒ]	-nas,-cont +voice,-ant,+strid	0.0032	14906	102581	15650	0.0
[ɟ|d|v|b|ʒ|z|ɡ] [ʒ|z]	+voice +voice,+strid	0.0032	15121	70640	23459	0.0
[t|d] [ʃ|f|v|s|h|ʒ|z]	-strid,+ant -son,+cont	0.0032	24251	58147	73731	0.0
[t|ɟ|d|p|b|c|k|ɡ] [ʒ|ɟ]	-nas,-cont +voice,-ant	0.0032	14910	102581	15846	0.0
[t|ɟ|d|c] [ʃ|f|v|s|h|ʒ|z]	-strid -son,+cont	0.0032	24255	58343	73731	0.0
[t|d|s|z] [ʒ|ʃ|ʎ|j]	+ant,-son -ant,+cont	0.0032	24575	81554	54278	0.0
[t|d|s|z] [ʃ|ɟ|ʎ|j|ɲ|c|ʒ]	+ant,-son -ant	0.0032	24603	81554	54474	0.0
[t|d|s|z] [ʃ|ɟ|ʎ|j|c|ʒ]	+ant,-son -ant,-nas	0.0032	24603	81554	54474	0.0
[t|d|s|z] [ʒ|ʃ|z|s]	+ant,-son +strid	0.0031	24494	81554	54920	0.0
[t|d|s|r|l|z] [ʒ|ʃ|ʎ]	+ant,-nas +cons,-ant,+cont	0.0031	24270	130315	34153	0.0
[t|d|s|r|l|z] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	+ant,-nas +cons,-ant	0.0031	24321	130315	34349	0.0
[t|d|s|r|l|z] [ʃ|ɟ|ʎ|c|ʒ]	+ant,-nas -ant,-nas,+cons	0.0031	24321	130315	34349	0.0
[t|d] [ʒ|z|v]	-strid,+ant +voice,+cont	0.0031	14950	58147	29112	0.0
[t|ɟ|d|c] [ʒ|z|v]	-strid +voice,+cont	0.0031	14950	58343	29112	0.0
[ʒ|ɟ|d|z] [ʒ|ʃ|ʎ]	+cor,+voice +cons,-ant,+cont	0.003	14909	49754	34153	0.0
[ʒ|ɟ|d|z] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	+cor,+voice +cons,-ant	0.003	14933	49754	34349	0.0
[ʒ|ɟ|d|z] [ʃ|ɟ|ʎ|c|ʒ]	+cor,+voice -ant,-nas,+cons	0.003	14933	49754	34349	0.0
[d] [ɟ|d|v|b|ʒ|z|ɡ]	-strid,+voice,+ant +voice	0.0029	15212	26099	70640	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [ʒ]	+cor,-son +voice,-ant,+strid	0.0029	14905	113263	15650	0.0
[ɟ|d] [ɟ|d|v|b|ʒ|z|ɡ]	-strid,+voice +voice	0.0029	15215	26295	70640	0.0
[t|n|d|s|r|l|z] [ʒ|ʃ]	+ant -ant,+strid	0.0029	24313	150599	31513	0.0
[t|n|d|s|r|l|z] [ʒ|ʃ|ɟ|c]	+ant -ant,-son	0.0029	24377	150599	31709	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [ʒ|ɟ]	+cor,-son +voice,-ant	0.0029	14942	113263	15846	0.0
[t|n|d] [ʒ|z]	+ant,-cont +voice,+strid	0.0029	15098	78431	23459	0.0
[t|n|ɟ|d|ɲ|c] [ʒ|z]	+cor,-cont +voice,+strid	0.0029	15098	78627	23459	0.0
[d|z] [ʒ|ʃ|ʎ|j]	+voice,+ant -ant,+cont	0.0029	15058	33908	54278	0.0
[d|z] [ʃ|ɟ|ʎ|j|ɲ|c|ʒ]	+voice,+ant -ant	0.0029	15082	33908	54474	0.0
[d|z] [ʃ|ɟ|ʎ|j|c|ʒ]	+voice,+ant -ant,-nas	0.0029	15082	33908	54474	0.0
[d|z] [ʒ|ʃ|z|s]	+voice,+ant +strid	0.0028	15003	33908	54920	0.0
[t|d|s|z] [ʒ|z]	+ant,-son +voice,+strid	0.0027	15016	81554	23459	0.0
[d] [ʃ|f|v|s|h|ʒ|z]	-strid,+voice,+ant -son,+cont	0.0027	14934	26099	73731	0.0
[t|n|d|s|r|l|z] [ʒ|ʃ|ʎ]	+ant +cons,-ant,+cont	0.0027	24380	150599	34153	0.0
[t|n|d|s|r|l|z] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	+ant +cons,-ant	0.0027	24444	150599	34349	0.0
[t|n|d|s|r|l|z] [ʃ|ɟ|ʎ|c|ʒ]	+ant -ant,-nas,+cons	0.0027	24444	150599	34349	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [ʒ|ʃ]	-cont -ant,+strid	0.0027	24213	161537	31513	0.0
[ɟ|d] [ʃ|f|v|s|h|ʒ|z]	-strid,+voice -son,+cont	0.0027	14938	26295	73731	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [ʒ|ʃ|ɟ|c]	-cont -ant,-son	0.0027	24230	161537	31709	0.0
[t|n|d] [t|ʃ|ɟ|d|s|c|ʒ|z]	+ant,-cont +cor,-son	0.0027	31851	78431	113263	0.0
[ɟ|d|v|b|ʒ|z|ɡ] [ʒ|z|v]	+voice +voice,+cont	0.0027	15320	70640	29112	0.0
[t|n|ɟ|d|ɲ|c] [t|ʃ|ɟ|d|s|c|ʒ|z]	+cor,-cont +cor,-son	0.0027	31858	78627	113263	0.0
[ɡ|ɟ|d|b] [ʒ|ɟ|d|z]	+voice,-cont +cor,+voice	0.0026	15317	41528	49754	0.0
[t|ʃ|ɟ|d|ʎ|s|r|c|l|ʒ|z] [ʒ|ʃ]	+cor,+cons,-nas -ant,+strid	0.0026	24227	164664	31513	0.0
[t|ʃ|ɟ|d|ʎ|s|r|c|l|ʒ|z] [ʒ|ʃ|ɟ|c]	+cor,+cons,-nas -ant,-son	0.0026	24287	164664	31709	0.0
[d|z] [ɟ|d|v|b|ʒ|z|ɡ]	+voice,+ant +voice	0.0026	16317	33908	70640	0.0
[t|ɟ|d|p|b|c|k|ɡ] [ʒ|ʃ|z|s]	-nas,-cont +strid	0.0026	24904	102581	54920	0.0
[t|n|d] [ʃ|f|v|s|h|ʒ|z]	+ant,-cont -son,+cont	0.0026	25193	78431	73731	0.0
[t|d|s|r|l|z] [ʒ]	+ant,-nas +voice,-ant,+strid	0.0025	14948	130315	15650	0.0
[t|n|ɟ|d|ɲ|c] [ʃ|f|v|s|h|ʒ|z]	+cor,-cont -son,+cont	0.0025	25197	78627	73731	0.0
[t|s] [ʃ]	+ant,-voice -voice,-ant,+strid	0.0025	9095	47646	15863	0.0
[t|s] [ʃ|c]	+ant,-voice -voice,-ant	0.0025	9095	47646	15863	0.0
[t|d|s|r|l|z] [ʒ|ɟ]	+ant,-nas +voice,-ant	0.0025	14999	130315	15846	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [ʒ|ʃ|ʎ]	-cont +cons,-ant,+cont	0.0025	24338	161537	34153	0.0
[t|ɟ|d|p|b|c|k|ɡ] [ʒ|ʃ|ʎ|j]	-nas,-cont -ant,+cont	0.0025	24443	102581	54278	0.0
[t|ɟ|d|p|b|c|k|ɡ] [ʃ|ɟ|ʎ|j|ɲ|c|ʒ]	-nas,-cont -ant	0.0025	24447	102581	54474	0.0
[t|ɟ|d|p|b|c|k|ɡ] [ʃ|ɟ|ʎ|j|c|ʒ]	-nas,-cont -ant,-nas	0.0025	24447	102581	54474	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	-cont +cons,-ant	0.0025	24355	161537	34349	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [ʃ|ɟ|ʎ|c|ʒ]	-cont -ant,-nas,+cons	0.0025	24355	161537	34349	0.0
[t|ʃ|ɟ|d|ʎ|s|r|c|l|ʒ|z] [ʒ|ʃ|ʎ]	+cor,+cons,-nas +cons,-ant,+cont	0.0025	24361	164664	34153	0.0
[t|ʃ|ɟ|d|ʎ|s|r|c|l|ʒ|z] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	+cor,+cons,-nas +cons,-ant	0.0025	24421	164664	34349	0.0
[t|ʃ|ɟ|d|ʎ|s|r|c|l|ʒ|z] [ʃ|ɟ|ʎ|c|ʒ]	+cor,+cons,-nas -ant,-nas,+cons	0.0025	24421	164664	34349	0.0
[t|ʃ|ɟ|d|f|v|s|p|ʒ|b|c|h|k|z|ɡ] [ʒ|ʃ]	-son -ant,+strid	0.0024	24188	176312	31513	0.0
[ʒ|ɟ|d|z] [ʒ|ɟ|d|z]	+cor,+voice +cor,+voice	0.0024	16131	49754	49754	0.0
[t|d] [t|ʃ|ɟ|d|s|c|ʒ|z]	-strid,+ant +cor,-son	0.0024	26308	58147	113263	0.0
[t|ʃ|ɟ|d|f|v|s|p|ʒ|b|c|h|k|z|ɡ] [ʒ|ʃ|ɟ|c]	-son -ant,-son	0.0024	24225	176312	31709	0.0
[t|ɟ|d|c] [t|ʃ|ɟ|d|s|c|ʒ|z]	-strid +cor,-son	0.0024	26315	58343	113263	0.0
[t|d] [ʃ|ʎ|s|r|l|ʒ|z]	-strid,+ant +cor,+cons,+cont	0.0024	25235	58147	106321	0.0
[t|ɟ|d|c] [ʃ|ʎ|s|r|l|ʒ|z]	-strid +cor,+cons,+cont	0.0024	25259	58343	106321	0.0
[t|d|s|z] [ʃ|f|v|s|h|ʒ|z]	+ant,-son -son,+cont	0.0024	24823	81554	73731	0.0
[t|ʃ|ɟ|d|n|s|ʎ|r|ɲ|c|l|ʒ|z] [ʒ|ʃ]	+cor,+cons -ant,+strid	0.0024	24337	184948	31513	0.0
[t|ʃ|ɟ|d|n|s|ʎ|r|ɲ|c|l|ʒ|z] [ʒ|ʃ|ɟ|c]	+cor,+cons -ant,-son	0.0024	24410	184948	31709	0.0
[t|n|d|s|r|l|z] [t|ʃ|ɟ|d|s|c|ʒ|z]	+ant +cor,-son	0.0024	41613	150599	113263	0.0
[t|ʃ|ɟ|d|ʎ|s|j|r|c|l|ʒ|z] [ʒ|ʃ]	+cor,-nas -ant,+strid	0.0023	24240	184789	31513	0.0
[t|ʃ|ɟ|d|ʎ|s|j|r|c|l|ʒ|z] [ʒ|ʃ|ɟ|c]	+cor,-nas -ant,-son	0.0023	24300	184789	31709	0.0
[t|n|d] [ʒ|z|v]	+ant,-cont +voice,+cont	0.0023	15161	78431	29112	0.0
[ɟ|d|v|b|ʒ|z|ɡ] [ʒ|ʃ]	+voice -ant,+strid	0.0023	14956	70640	31513	0.0
[ɡ|ɟ|d|b] [ʒ|ʃ|ʎ|j]	+voice,-cont -ant,+cont	0.0023	15045	41528	54278	0.0
[t|n|ɟ|d|ɲ|c] [ʒ|z|v]	+cor,-cont +voice,+cont	0.0023	15161	78627	29112	0.0
[ɟ|d|v|b|ʒ|z|ɡ] [ʒ|ʃ|ɟ|c]	+voice -ant,-son	0.0023	14980	70640	31709	0.0
[ɡ|ɟ|d|b] [ʃ|ɟ|ʎ|j|ɲ|c|ʒ]	+voice,-cont -ant	0.0023	15045	41528	54474	0.0
[ɡ|ɟ|d|b] [ʃ|ɟ|ʎ|j|c|ʒ]	+voice,-cont -ant,-nas	0.0023	15045	41528	54474	0.0
[t|ʃ|ɟ|d|f|v|s|p|ʒ|b|c|h|k|z|ɡ] [ʒ|ʃ|ʎ]	-son +cons,-ant,+cont	0.0023	24424	176312	34153	0.0
[t|ʃ|ɟ|d|f|v|s|p|ʒ|b|c|h|k|z|ɡ] [ʃ|ɟ|ʎ|ɲ|c|ʒ]	-son +cons,-ant	0.0023	24461	176312	34349	0.0
[t|ʃ|ɟ|d|f|v|s|p|ʒ|b|c|h|k|z|ɡ] [ʃ|ɟ|ʎ|c|ʒ]	-son -ant,-nas,+cons	0.0023	24461	176312	34349	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [ʒ|ʃ|ʎ|j]	+cor,-son -ant,+cont	0.0023	24621	113263	54278	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [ʃ|ɟ|ʎ|j|ɲ|c|ʒ]	+cor,-son -ant	0.0023	24658	113263	54474	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [ʃ|ɟ|ʎ|j|c|ʒ]	+cor,-son -ant,-nas	0.0023	24658	113263	54474	0.0
[ɡ|ɟ|d|b] [ʒ|ʃ|z|s]	+voice,-cont +strid	0.0023	14989	41528	54920	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [ʒ|ʃ|z|s]	+cor,-son +strid	0.0023	24573	113263	54920	0.0
[t|d|s|z] [ʒ|z|v]	+ant,-son +voice,+cont	0.0022	15132	81554	29112	0.0
[t|n|d|s|r|l|z] [ʒ]	+ant +voice,-ant,+strid	0.0022	15012	150599	15650	0.0
